t,sigma_0,sigma_1,sigma_2,sigma_8,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7
0.001,0.001,0.001,0.001,0.0572958,0.01,0.01,0.01,1.14594,1.14594
0.051,0.00110306,0.00110306,0.00110307,0.0573841,0.00931662,0.0093166,0.00931776,1.14594,1.14595
0.101,0.00119954,0.00119953,0.00119742,0.0574964,0.00713151,0.00713041,0.00659954,1.14575,1.14581
0.151,0.00120024,0.00120019,0.0011948,0.0583225,0.00440043,0.00440385,0.00467914,1.14441,1.14485
0.201,0.00118102,0.00118097,0.00118718,0.0591856,0.00383838,0.00385442,0.0037276,1.14369,1.14445
0.251,0.00119773,0.00119802,0.00121669,0.0583507,0.00356281,0.00357942,0.00318856,1.13998,1.14086
0.301,0.00125442,0.0012547,0.00128976,0.0586584,0.00440234,0.00438621,0.0030904,1.1304,1.13151
0.351,0.00129492,0.00129473,0.00135465,0.0580599,0.00277512,0.00277466,0.0037793,1.12096,1.12381
0.401,0.0013006,0.0013005,0.00142754,0.058497,0.00341215,0.0034327,0.00374617,1.10976,1.11654
0.451,0.00131297,0.00131393,0.00151104,0.0584479,0.00372202,0.00372565,0.00303933,1.10424,1.1116
0.501,0.00136244,0.00136329,0.00159953,0.0597225,0.00461731,0.00457876,0.00261574,1.09738,1.10423
0.551,0.00140651,0.00140598,0.00169853,0.0649206,0.00301507,0.00296368,0.00328216,1.07558,1.08614
0.601,0.00141337,0.00141294,0.00181047,0.0698529,0.00353321,0.00369416,0.00332908,0.988191,0.984397
0.651,0.00142173,0.00142544,0.0019067,0.065064,0.00352521,0.00378345,0.00264751,0.962163,0.953143
0.701,0.00147454,0.00147867,0.00196363,0.0659624,0.00429394,0.00401628,0.00270974,0.95438,0.954244
0.751,0.00152812,0.00152604,0.00201664,0.0676965,0.00319464,0.00296428,0.00279484,0.938876,0.946262
0.801,0.00154679,0.00154588,0.00208616,0.0683997,0.00362634,0.00381142,0.00207262,0.908527,0.911552
0.851,0.00156243,0.00156922,0.002124,0.0640532,0.00352335,0.00360222,0.00199286,0.902395,0.887345
0.901,0.00161604,0.00162215,0.00211972,0.0691253,0.00386837,0.00391357,0.00257015,0.906751,0.876516
0.951,0.00166256,0.00166222,0.00211546,0.0771743,0.00296011,0.00291571,0.00229495,0.906437,0.845333
1.001,0.00167945,0.00168094,0.00213124,0.0739458,0.00335337,0.00396694,0.00259561,0.902079,0.766962
1.051,0.00169806,0.00170905,0.00216102,0.0668235,0.00315418,0.00389524,0.00296482,0.890696,0.744725
1.101,0.00175272,0.0017637,0.00216844,0.0656938,0.00374463,0.00358863,0.00347713,0.879898,0.74699
1.151,0.00179545,0.00179608,0.00218471,0.0663804,0.00299399,0.00277586,0.00315284,0.863386,0.735471
1.201,0.00180836,0.00181105,0.00221714,0.0665096,0.0032248,0.00393597,0.00240405,0.843803,0.709801
1.251,0.00182473,0.00183856,0.00222327,0.0636342,0.0031591,0.00372905,0.00269229,0.841355,0.684354
1.301,0.0018792,0.00189232,0.00221013,0.0671375,0.00345403,0.00365403,0.00310407,0.848435,0.66919
1.351,0.00191764,0.00192036,0.00220804,0.071502,0.00294707,0.00285949,0.00268366,0.850635,0.646246
1.401,0.00192816,0.00193283,0.00223141,0.068777,0.00305049,0.0041168,0.00259089,0.850831,0.608889
1.451,0.00194188,0.00195998,0.00225914,0.06548,0.00290731,0.00408691,0.00280047,0.83899,0.600571
1.501,0.00199574,0.00201512,0.00228141,0.0647417,0.00370999,0.00337651,0.00307824,0.827481,0.607351
