variant,delay_ms,vel_rmse,yaw_final_deg
0,0,0.0292992,0.529126
0,2,0.0321299,1.39989
0,5,0.0365679,2.99711
0,10,0.0448479,6.55186
0,15,0.0547553,11.2628
0,20,0.0664605,16.9373
0,30,0.093884,30.1822
0,40,0.123146,44.3236
0,60,0.1754,63.7172
1,0,0.0108096,0.113007
1,2,0.0106522,0.101978
1,5,0.0105728,0.0895639
1,10,0.0107257,0.0964297
1,15,0.0109592,0.153784
1,20,0.0111153,0.174041
1,30,0.0113746,0.169349
1,40,0.0120349,0.402423
1,60,0.0151471,0.542828
2,0,0.0251041,-1.48776
2,2,0.0272844,-1.42797
2,5,0.0304536,-1.36837
2,10,0.0356445,-1.46339
2,15,0.0399262,-1.09263
2,20,0.0438033,-0.918425
2,30,0.0503725,-2.20205
2,40,0.0547497,-1.02695
2,60,0.0640385,-0.658162
