variant,slip,vel_rmse
0,0,0.0108557
0,0.01,0.0139387
0,0.02,0.021698
0,0.05,0.0499764
0,0.1,0.0994528
0,0.2,0.199538
0,0.3,0.299678
0,0.5,0.49956
1,0,0.0108096
1,0.01,0.0136679
1,0.02,0.0214353
1,0.05,0.0498624
1,0.1,0.0995574
1,0.2,0.200109
1,0.3,0.300821
1,0.5,0.501777
2,0,0.0252778
2,0.01,0.0291143
2,0.02,0.0359363
2,0.05,0.0635277
2,0.1,0.115469
2,0.2,0.222927
2,0.3,0.331321
2,0.5,0.548611
3,0,0.0108096
3,0.01,0.0136679
3,0.02,0.0214353
3,0.05,0.0498624
3,0.1,0.0995574
3,0.2,0.200085
3,0.3,0.299215
3,0.5,0.486158
