t,err_imu_only,err_contact
0,0.00079631,0.00079631
0.01,0.00101409,0.00101409
0.02,0.000877014,0.000875442
0.03,0.000817581,0.000815686
0.04,0.00131048,0.00127955
0.05,0.00102942,0.000892823
0.06,0.00113968,0.000780235
0.07,0.00152231,0.000590827
0.08,0.00143258,0.00179224
0.09,0.00160769,0.00406084
0.1,0.00185408,0.00659787
0.11,0.00217869,0.00898332
0.12,0.0023546,0.0110699
0.13,0.00201769,0.0128942
0.14,0.00190738,0.0135655
0.15,0.00181734,0.0138381
0.16,0.00146146,0.0136156
0.17,0.00149249,0.0128835
0.18,0.001765,0.0115407
0.19,0.00176324,0.0102943
0.2,0.00163642,0.00903282
0.21,0.00159005,0.00742516
0.22,0.00170089,0.00519883
0.23,0.0016383,0.00305125
0.24,0.00162189,0.0031335
0.25,0.00145543,0.0031806
0.26,0.00161968,0.00342257
0.27,0.00180265,0.00377827
0.28,0.00198394,0.00413413
0.29,0.00219724,0.00443002
0.3,0.00257925,0.00474921
0.31,0.00244288,0.00451425
0.32,0.00212816,0.00402007
0.33,0.00200577,0.00378083
0.34,0.00201801,0.0036903
0.35,0.00171504,0.00357632
0.36,0.00126535,0.00347069
0.37,0.00124335,0.0034305
0.38,0.00102835,0.00378588
0.39,0.00113184,0.00402724
0.4,0.00103545,0.00369128
0.41,0.00124171,0.00329971
0.42,0.00136532,0.00286553
0.43,0.0015404,0.00376819
0.44,0.00153583,0.00509623
0.45,0.0016141,0.00543858
0.46,0.00167264,0.00604605
0.47,0.00155293,0.0067345
0.48,0.0016704,0.0071784
0.49,0.00204047,0.00780599
0.5,0.00222322,0.00829696
0.51,0.00264138,0.00862969
0.52,0.00258124,0.0090378
0.53,0.00239909,0.00909893
0.54,0.00256337,0.00944636
0.55,0.00246837,0.00938728
0.56,0.0023166,0.00849595
0.57,0.00259902,0.00751653
0.58,0.00262707,0.00680576
0.59,0.00241485,0.00515457
0.6,0.00223475,0.00563876
0.61,0.00245344,0.00835053
0.62,0.00254148,0.00854493
0.63,0.00247269,0.00712856
0.64,0.00282362,0.00563155
0.65,0.00292352,0.00453469
0.66,0.00321143,0.00533885
0.67,0.00323495,0.00826892
0.68,0.00330391,0.0118863
0.69,0.0033522,0.0153571
0.7,0.00351321,0.0178985
0.71,0.00323888,0.0198797
0.72,0.00384319,0.0208611
0.73,0.00407919,0.0208992
0.74,0.00406095,0.0196206
0.75,0.00413347,0.0172144
0.76,0.00389769,0.014293
0.77,0.0037503,0.0111614
0.78,0.00379771,0.00664315
0.79,0.00375507,0.00136621
0.8,0.00334192,0.0045424
0.81,0.00322742,0.00882442
0.82,0.00319346,0.00839756
0.83,0.00342619,0.00420156
0.84,0.0034949,0.00108737
0.85,0.00325148,0.00373738
0.86,0.00326814,0.00720344
0.87,0.00307317,0.011189
0.88,0.00315147,0.014831
0.89,0.00326142,0.0188696
0.9,0.00357354,0.0216025
0.91,0.00317944,0.0235088
0.92,0.00344604,0.0243407
0.93,0.00348973,0.0239118
0.94,0.00329705,0.0226608
0.95,0.00311108,0.0205262
0.96,0.00291225,0.0177551
0.97,0.00297638,0.0148801
0.98,0.00289297,0.0108869
0.99,0.00317223,0.00801289
1,0.00316491,0.00875429
1.01,0.00338675,0.0100954
1.02,0.0036499,0.0097202
1.03,0.00380157,0.00626505
1.04,0.00367659,0.00606743
1.05,0.00344196,0.00777116
1.06,0.00356938,0.0100927
1.07,0.00375165,0.0133927
1.08,0.00400421,0.0167652
1.09,0.00397615,0.0198955
1.1,0.00413973,0.0223436
1.11,0.00413007,0.0240413
1.12,0.00439391,0.0248906
1.13,0.00463811,0.0244142
1.14,0.00448899,0.0234281
1.15,0.00422026,0.0212631
1.16,0.00421962,0.0185416
1.17,0.00408834,0.0162702
1.18,0.00404272,0.0128854
1.19,0.00386692,0.0109036
1.2,0.00371649,0.010606
1.21,0.00390366,0.0109274
1.22,0.00406421,0.00983126
1.23,0.0040454,0.00672951
1.24,0.00417544,0.00689734
1.25,0.00410913,0.00890306
1.26,0.00395297,0.0115931
1.27,0.00380603,0.0147365
1.28,0.0038748,0.0175196
1.29,0.0038894,0.0203009
1.3,0.00388589,0.0227215
1.31,0.0037042,0.0242482
1.32,0.00398952,0.0246802
1.33,0.00397356,0.0245428
1.34,0.00371996,0.0233594
1.35,0.00372694,0.0214614
1.36,0.00387671,0.0192327
1.37,0.00414686,0.017181
1.38,0.00446263,0.0142677
1.39,0.00456413,0.0120535
1.4,0.00470984,0.0111463
1.41,0.00466041,0.0112448
1.42,0.00480778,0.0103811
1.43,0.00509894,0.00813615
1.44,0.00506571,0.00809258
1.45,0.00486717,0.0094874
1.46,0.00487353,0.0112194
1.47,0.00468902,0.0135965
1.48,0.0045616,0.0160886
1.49,0.00451338,0.0182755
1.5,0.00440078,0.020312
1.51,0.00459003,0.0213755
1.52,0.00422477,0.0223643
1.53,0.00443919,0.0219493
1.54,0.00450019,0.0209657
1.55,0.00478994,0.0194152
1.56,0.00527869,0.0174545
1.57,0.00541786,0.015804
1.58,0.00585914,0.0132968
1.59,0.00622949,0.0119377
1.6,0.00619348,0.0118551
1.61,0.00662233,0.0118447
1.62,0.0067748,0.0108514
1.63,0.00700721,0.00832233
1.64,0.00700497,0.0077847
1.65,0.00679957,0.00910163
1.66,0.00683704,0.0108072
