t,roll_err_deg,roll_err_rms_deg,bay_err_rms,roll_sigma_deg,bay_err,bay_sigma,turning
0,-0.144517,0.106311,0.018767,1.14594,0.0256632,0.196133,0
0.01,-0.144356,0.107402,0.018959,1.14595,0.0256546,0.196133,0
0.02,-0.144498,0.108274,0.0191075,1.14595,0.0256876,0.196133,0
0.03,-0.144985,0.108908,0.0192142,1.14595,0.0256893,0.196133,0
0.04,-0.144701,0.109259,0.0192854,1.14595,0.0257007,0.196133,0
0.05,-0.145306,0.109452,0.0193333,1.14595,0.0256909,0.196133,0
0.06,-0.145376,0.109617,0.0193733,1.14595,0.0257157,0.196133,0
0.07,-0.145407,0.109932,0.0194322,1.14595,0.0257686,0.196132,0
0.08,-0.147463,0.110716,0.0195641,1.14594,0.0258672,0.196131,0
0.09,-0.149921,0.11264,0.0198756,1.14592,0.0261421,0.196127,0
0.1,-0.149443,0.116691,0.0205375,1.14585,0.0265489,0.196115,0
0.11,-0.151775,0.123871,0.021735,1.14573,0.0270844,0.196095,0
0.12,-0.150216,0.134648,0.0235498,1.14556,0.027688,0.196065,0
0.13,-0.14979,0.148224,0.0258585,1.14535,0.0282449,0.196031,0
0.14,-0.150658,0.16308,0.0284485,1.14515,0.0286044,0.195997,0
0.15,-0.15382,0.177725,0.0310889,1.14498,0.028863,0.19597,0
0.16,-0.15466,0.190627,0.0334507,1.14487,0.0289215,0.195952,0
0.17,-0.15342,0.199982,0.0351915,1.1448,0.028923,0.195942,0
0.18,-0.15783,0.206592,0.0364217,1.14476,0.028744,0.195936,0
0.19,-0.171971,0.212395,0.0374895,1.14472,0.0284503,0.195927,0
0.2,-0.183219,0.218207,0.0385373,1.14465,0.0280612,0.195911,0
0.21,-0.171648,0.223786,0.0395322,1.14448,0.0269601,0.19588,0
0.22,-0.149662,0.229041,0.0404505,1.1441,0.0248567,0.195814,0
0.23,-0.131209,0.233876,0.0412739,1.1432,0.0226954,0.19566,0
0.24,-0.122239,0.238423,0.0420112,1.14216,0.0216545,0.195482,0
0.25,-0.111956,0.242772,0.0426836,1.14102,0.0199354,0.195287,0
0.26,-0.102254,0.246032,0.0431572,1.13947,0.0178666,0.195024,0
0.27,-0.0903953,0.249095,0.0436039,1.13766,0.0154562,0.194716,0
0.28,-0.071476,0.252225,0.0440573,1.1357,0.0127276,0.194381,0
0.29,-0.0511257,0.255708,0.0445677,1.13369,0.0103984,0.194039,0
0.3,-0.0406745,0.260065,0.0451947,1.13175,0.00883305,0.193708,0
0.31,-0.047712,0.265707,0.0459883,1.12995,0.00923387,0.1934,0
0.32,-0.0734586,0.272966,0.0469664,1.12828,0.0129313,0.193114,0
0.33,-0.117801,0.281761,0.0480998,1.12665,0.0201837,0.192834,0
0.34,-0.181058,0.291461,0.0493187,1.1249,0.030651,0.192534,0
0.35,-0.256547,0.301227,0.0505291,1.12289,0.0437532,0.192187,0
0.36,-0.337851,0.310534,0.0516494,1.12049,0.0579977,0.191774,0
0.37,-0.412002,0.319287,0.0527003,1.1177,0.0708291,0.191293,0
0.38,-0.465991,0.328189,0.0538398,1.11471,0.0805843,0.190775,0
0.39,-0.49492,0.337927,0.0552116,1.11174,0.0872308,0.19026,0
0.4,-0.50151,0.346521,0.0564766,1.10902,0.0893588,0.189791,0
0.41,-0.459207,0.354189,0.0576611,1.10686,0.0828355,0.189419,0
0.42,-0.388702,0.361022,0.0587699,1.1054,0.0703408,0.189172,0
0.43,-0.349545,0.367019,0.0598072,1.10413,0.0631211,0.188959,0
0.44,-0.351981,0.372169,0.0607763,1.10296,0.0630876,0.188767,0
0.45,-0.352677,0.376503,0.0616863,1.10197,0.0628631,0.188605,0
0.46,-0.34922,0.380478,0.0625594,1.10078,0.0615875,0.188411,0
0.47,-0.338808,0.384509,0.0634316,1.09942,0.0592325,0.188189,0
0.48,-0.330719,0.388849,0.0643492,1.09793,0.0564895,0.187943,0
0.49,-0.325126,0.393707,0.0653542,1.09642,0.0541641,0.187694,0
0.5,-0.320828,0.39932,0.066504,1.09509,0.0525056,0.187473,0
0.51,-0.312264,0.405886,0.0678642,1.09409,0.0512237,0.187309,0
0.52,-0.31234,0.413546,0.0694913,1.09345,0.0508935,0.187207,0
0.53,-0.321228,0.422424,0.0713969,1.09307,0.052507,0.18715,0
0.54,-0.347332,0.432565,0.0734967,1.09271,0.0563626,0.187101,0
0.55,-0.388978,0.442965,0.0756117,1.09199,0.0622976,0.186999,0
0.56,-0.441683,0.452137,0.0775453,1.0904,0.0692036,0.186766,0
0.57,-0.494056,0.459646,0.0791782,1.08751,0.0755356,0.186332,0
0.58,-0.537365,0.466455,0.0806108,1.08325,0.080101,0.185687,0
0.59,-0.55682,0.473723,0.0820256,1.07815,0.0822606,0.184895,0
0.6,-0.557828,0.480724,0.0833051,1.07309,0.081425,0.184084,0
0.61,-0.548344,0.487019,0.0843939,1.06904,0.0789982,0.183404,0
0.62,-0.548004,0.492131,0.0852242,1.06641,0.0799359,0.182929,0
0.63,-0.57563,0.495994,0.0857813,1.06453,0.0876856,0.182563,0
0.64,-0.57611,0.498879,0.0861047,1.06345,0.0900372,0.182333,0
0.65,-0.549976,0.501259,0.0862747,1.06319,0.0878666,0.182246,0
0.66,-0.528814,0.503893,0.0864552,1.06296,0.0862087,0.182169,0
