bin_lo_us,compute_count,wake_late_count
1,0,0
1.14112,0,0
1.30216,0,0
1.48592,0,0
1.69561,0,0
1.9349,0,0
2.20795,0,0
2.51954,0,0
2.8751,0,0
3.28083,4,0
3.74382,1,0
4.27216,1,0
4.87504,1,0
5.56301,1,0
6.34807,1,0
7.24391,1,0
8.26618,0,0
9.43271,0,0
10.7639,5,0
12.2829,7552,0
14.0162,4262,0
15.9942,18194,0
18.2513,9847,4
20.8269,4278,22
23.7661,2880,23
27.1199,3882,779
30.9471,4782,16453
35.3144,2139,15582
40.298,755,7714
45.9849,377,7181
52.4743,411,4815
59.8795,323,2299
68.3297,75,2798
77.9724,42,1165
88.976,45,478
101.532,32,261
115.861,23,122
132.211,10,62
150.869,20,36
172.159,8,19
196.455,8,5
224.178,6,14
255.814,6,12
291.915,3,14
333.11,3,10
380.119,1,9
433.762,4,10
494.975,3,7
564.826,0,11
644.534,0,17
735.491,1,7
839.284,0,4
957.725,2,3
1092.88,1,4
1247.11,2,10
1423.1,1,13
1623.93,1,6
1853.1,2,3
2114.61,2,4
2413.02,0,5
2753.55,1,5
3142.13,0,3
3585.55,1,3
4091.55,0,2
4668.95,0,2
5327.84,0,2
6079.7,0,1
6937.67,0,1
7916.72,0,0
