t,x_true,y_true,x_est,y_est
0,-0.00897206,3.45678e-05,-0.00897206,3.45678e-05
0.01,-0.00897226,3.45512e-05,-0.00897126,3.2429e-05
0.02,-0.00897252,3.45291e-05,-0.00897022,2.83252e-05
0.03,-0.00897275,3.44948e-05,-0.00897149,2.3378e-05
0.04,-0.00897273,3.44421e-05,-0.0089755,2.12497e-05
0.05,-0.00897151,3.43292e-05,-0.00897756,2.13626e-05
0.06,-0.0089461,3.29252e-05,-0.0089546,2.12261e-05
0.07,-0.00885614,2.37773e-05,-0.00886723,1.67858e-05
0.08,-0.00872832,-5.61522e-06,-0.00873599,-6.81123e-06
0.09,-0.00863201,-5.18625e-05,-0.00862554,-5.02487e-05
0.1,-0.00863229,-9.78848e-05,-0.00861021,-9.71779e-05
0.11,-0.0087712,-0.00011825,-0.00872884,-0.00012593
0.12,-0.009074,-9.50492e-05,-0.00900023,-0.000117956
0.13,-0.00954276,-1.73703e-05,-0.00943052,-6.04426e-05
0.14,-0.0101619,0.000124776,-0.010013,6.58324e-05
0.15,-0.0109062,0.000331059,-0.0107243,0.000250189
0.16,-0.0117442,0.000602125,-0.0115257,0.000507934
0.17,-0.0126371,0.000934426,-0.0123863,0.000817024
0.18,-0.013542,0.0013103,-0.0132585,0.0011738
0.19,-0.0144553,0.00164845,-0.0141309,0.00151331
0.2,-0.015405,0.00181948,-0.0150286,0.00170581
0.21,-0.0164408,0.00186735,-0.0160242,0.00177124
0.22,-0.0175298,0.00187984,-0.01707,0.00177722
0.23,-0.0186074,0.00188407,-0.0180266,0.0017454
0.24,-0.0196341,0.00187803,-0.0189405,0.00171475
0.25,-0.0205806,0.00186313,-0.0198645,0.00169638
0.26,-0.0214261,0.00184871,-0.0206921,0.00167682
0.27,-0.0221931,0.00184459,-0.0214437,0.00166891
0.28,-0.022939,0.00185966,-0.0221755,0.00168051
0.29,-0.0237294,0.00188651,-0.0229476,0.00170285
0.3,-0.0246121,0.00190155,-0.0238079,0.00171087
