t,vx_true,vy_true,vz_true,vx_est,vy_est,vz_est
0,-1.69347e-05,-1.57762e-06,0.000796128,0,0,0
0.01,-2.26219e-05,-1.80412e-06,0.000793006,0.000238822,-0.000467201,-6.92238e-05
0.02,-2.76262e-05,-2.64507e-06,0.000789506,0.000165187,-0.000425224,4.74484e-05
0.03,-1.66592e-05,-4.16347e-06,0.000782999,-0.000138107,-0.00045096,0.000111459
0.04,2.20358e-05,-6.23434e-06,0.000772087,-0.000362382,-0.0002051,-0.000432045
0.05,0.000423581,-2.49994e-05,-0.000852909,0.000401452,-3.02807e-05,-0.00174544
0.06,0.00505673,-0.000249622,-0.0197526,0.00500875,-0.000517892,-0.0204837
0.07,0.0117168,-0.00171025,-0.0599846,0.0120596,-0.00215306,-0.0601729
0.08,0.0125321,-0.00388532,-0.100021,0.0130667,-0.00429431,-0.0983602
0.09,0.00622656,-0.00497613,-0.127188,0.00694094,-0.00541656,-0.123214
0.1,-0.00580065,-0.00390268,-0.13668,-0.00511914,-0.00451787,-0.130146
0.11,-0.0209673,-0.00027203,-0.126983,-0.0202158,-0.00101143,-0.118062
0.12,-0.0380099,0.00464184,-0.100514,-0.0370137,0.00385215,-0.089517
0.13,-0.054003,0.0105432,-0.0645392,-0.053022,0.00979232,-0.0517044
0.14,-0.0680105,0.0171417,-0.0261126,-0.0668753,0.0168458,-0.0125979
0.15,-0.079216,0.0235446,0.00926074,-0.0780123,0.0230737,0.0230384
0.16,-0.0869415,0.0299928,0.0365399,-0.0857447,0.0298725,0.0501023
0.17,-0.0905542,0.0356614,0.0505015,-0.089168,0.035243,0.0633034
0.18,-0.0900066,0.0382351,0.0533301,-0.0885699,0.0376137,0.0647641
0.19,-0.0930873,0.0275048,0.0691313,-0.0917039,0.0268577,0.0793117
0.2,-0.0965606,0.00958425,0.0936464,-0.0950519,0.00919602,0.102544
0.21,-0.107495,0.0022276,0.134908,-0.105738,0.00220853,0.142123
0.22,-0.109284,0.00085401,0.155502,-0.107287,0.000866491,0.160302
0.23,-0.105947,8.04898e-05,0.159754,-0.103482,0.000163933,0.161549
0.24,-0.0995503,-0.00114256,0.143363,-0.0964367,-0.00127831,0.143688
0.25,-0.0902535,-0.00164561,0.108124,-0.0870932,-0.0019984,0.10819
0.26,-0.0803106,-0.00111361,0.0538666,-0.0769549,-0.00148488,0.053305
0.27,-0.074627,0.000365151,-0.0122962,-0.0710675,-0.000150017,-0.0134537
0.28,-0.0757129,0.00231151,-0.0804184,-0.0720148,0.00176252,-0.0821829
0.29,-0.082506,0.00265,-0.140074,-0.0787318,0.00187882,-0.142262
0.3,-0.0935194,0.000101625,-0.18071,-0.089568,-0.000951739,-0.183125
0.31,-0.107736,-0.00468219,-0.195945,-0.103812,-0.00558494,-0.197986
0.32,-0.123038,-0.0108192,-0.18625,-0.119389,-0.0117003,-0.187688
0.33,-0.137168,-0.0172921,-0.15666,-0.133585,-0.0181484,-0.15751
0.34,-0.149539,-0.0233866,-0.114386,-0.145994,-0.0243966,-0.114559
0.35,-0.159832,-0.0290492,-0.0670079,-0.15643,-0.0298815,-0.0662852
0.36,-0.166864,-0.0339895,-0.0256321,-0.163741,-0.0343328,-0.0241584
0.37,-0.169743,-0.0373992,0.00515654,-0.166862,-0.0375511,0.00701192
0.38,-0.167634,-0.0382458,0.0246156,-0.164665,-0.0379129,0.0269407
0.39,-0.166508,-0.029658,0.0601794,-0.163355,-0.029011,0.0625997
0.4,-0.164169,-0.0216201,0.133755,-0.161652,-0.0203167,0.13612
0.41,-0.166272,-0.0219092,0.198431,-0.164115,-0.0201396,0.200192
0.42,-0.164118,-0.0234134,0.237744,-0.161708,-0.0220054,0.238396
0.43,-0.155483,-0.0235083,0.243484,-0.152057,-0.022495,0.242287
0.44,-0.141875,-0.0234234,0.215851,-0.137419,-0.0225617,0.213533
0.45,-0.126445,-0.024094,0.163237,-0.121686,-0.0236217,0.160647
0.46,-0.112303,-0.025225,0.0925446,-0.107012,-0.0251988,0.0896178
0.47,-0.103685,-0.0275094,0.0106973,-0.0978237,-0.0276902,0.00738556
0.48,-0.100559,-0.0308894,-0.0746676,-0.0945805,-0.0314908,-0.0785944
0.49,-0.102031,-0.0333606,-0.152677,-0.0956951,-0.0347304,-0.157026
0.5,-0.106551,-0.0339493,-0.212216,-0.0998449,-0.035651,-0.216796
0.51,-0.114018,-0.0323436,-0.244559,-0.107059,-0.0345215,-0.249175
0.52,-0.123848,-0.029065,-0.246176,-0.116143,-0.0310277,-0.250474
0.53,-0.135114,-0.0252987,-0.219673,-0.127087,-0.0269028,-0.223645
0.54,-0.146353,-0.022189,-0.173802,-0.137892,-0.0235568,-0.177774
0.55,-0.156587,-0.0196067,-0.118067,-0.148046,-0.0208893,-0.121746
0.56,-0.164489,-0.0172551,-0.0630623,-0.157087,-0.0179319,-0.0671774
0.57,-0.168535,-0.0155064,-0.0182721,-0.162567,-0.016242,-0.0227821
0.58,-0.168231,-0.0115967,0.0234663,-0.163539,-0.0118163,0.0185414
0.59,-0.164588,0.00454095,0.0938011,-0.162998,0.00503712,0.088923
0.6,-0.153282,0.0161257,0.177315,-0.156384,0.0176237,0.17285
0.61,-0.153901,0.0214962,0.252549,-0.160521,0.0234428,0.247846
0.62,-0.14547,0.0243503,0.288237,-0.152216,0.0266335,0.283516
0.63,-0.130751,0.0269532,0.283847,-0.135169,0.0297177,0.278983
0.64,-0.112171,0.0298399,0.245385,-0.113825,0.0320786,0.240489
0.65,-0.0939675,0.0321184,0.18549,-0.0929233,0.0336876,0.181366
0.66,-0.0791104,0.0334527,0.110822,-0.0749894,0.034086,0.107488
0.67,-0.0696273,0.0353482,0.0243355,-0.0617609,0.0351986,0.0217915
0.68,-0.0656576,0.0383808,-0.0651909,-0.0540144,0.0375974,-0.0674504
0.69,-0.0656145,0.0418181,-0.15025,-0.050486,0.0405698,-0.152576
0.7,-0.0674389,0.0440183,-0.220759,-0.0498137,0.0423537,-0.223393
0.71,-0.0721025,0.0447797,-0.26462,-0.0524286,0.0429406,-0.266802
0.72,-0.0801328,0.0435653,-0.275684,-0.0595587,0.0411335,-0.27813
0.73,-0.0909308,0.0421478,-0.254684,-0.0703322,0.0396749,-0.257205
0.74,-0.103762,0.0419178,-0.209761,-0.0844237,0.039542,-0.212077
0.75,-0.116679,0.0424429,-0.150871,-0.0997822,0.0402661,-0.153342
0.76,-0.127634,0.0426859,-0.0896413,-0.113616,0.0409826,-0.0918535
0.77,-0.135056,0.0415958,-0.0335186,-0.12414,0.0404284,-0.0355349
0.78,-0.141965,0.0273078,0.0413991,-0.135629,0.0267974,0.039468
0.79,-0.133932,0.000962734,0.117057,-0.13292,0.00129223,0.1162
0.8,-0.119692,-0.0175421,0.191915,-0.123961,-0.0161232,0.192545
0.81,-0.118808,-0.0255219,0.262651,-0.127367,-0.0235153,0.26342
0.82,-0.106453,-0.0299954,0.290487,-0.11462,-0.0284433,0.29167
0.83,-0.0882657,-0.0350844,0.279817,-0.0923035,-0.0343981,0.280754
0.84,-0.0678365,-0.0393889,0.240811,-0.0676744,-0.039511,0.241879
0.85,-0.0485781,-0.0422487,0.183498,-0.045672,-0.0428089,0.18578
0.86,-0.0330645,-0.0439771,0.110021,-0.0267005,-0.0453088,0.113122
0.87,-0.0231007,-0.0463798,0.023362,-0.0127943,-0.0483292,0.0272572
0.88,-0.0202658,-0.0501832,-0.0649268,-0.00621589,-0.0528261,-0.0609805
0.89,-0.0202483,-0.0539841,-0.148796,-0.00215332,-0.0574634,-0.14473
0.9,-0.0218299,-0.0566146,-0.21913,-0.00100246,-0.0607701,-0.215178
0.91,-0.0258474,-0.0574812,-0.262954,-0.00305366,-0.0615003,-0.258836
0.92,-0.0330935,-0.0563709,-0.274063,-0.00959436,-0.0607475,-0.26947
0.93,-0.043386,-0.0554602,-0.253337,-0.020387,-0.0597523,-0.248398
0.94,-0.0563259,-0.0550171,-0.208519,-0.0347519,-0.0587738,-0.202692
0.95,-0.0694873,-0.0543283,-0.149651,-0.0502749,-0.0572317,-0.143035
0.96,-0.080518,-0.0533817,-0.0887981,-0.0642785,-0.0551447,-0.0818399
0.97,-0.0881985,-0.051304,-0.0335062,-0.0752398,-0.0520329,-0.026229
0.98,-0.0967836,-0.037441,0.0370457,-0.0887009,-0.0364875,0.0442765
0.99,-0.0932754,-0.0103281,0.113785,-0.0907448,-0.008002,0.121023
1,-0.0828701,0.00924067,0.189709,-0.0855529,0.013128,0.19708
1.01,-0.0841436,0.0177598,0.260572,-0.0906135,0.0224713,0.266725
1.02,-0.0731618,0.0232637,0.288158,-0.0794556,0.0283138,0.293577
1.03,-0.0547241,0.028944,0.277594,-0.0563992,0.0338435,0.281121
1.04,-0.0332771,0.033755,0.23876,-0.030912,0.0380872,0.242289
1.05,-0.0134671,0.036893,0.182165,-0.00852942,0.0406967,0.186806
1.06,0.00245884,0.0387115,0.108723,0.0104131,0.041553,0.114247
1.07,0.0117102,0.041105,0.0225866,0.0235408,0.0424748,0.0287124
1.08,0.0138416,0.0445884,-0.065018,0.0294388,0.0445167,-0.0588701
1.09,0.0132877,0.0478964,-0.148002,0.0323429,0.0468187,-0.142383
1.1,0.0107348,0.0499861,-0.217656,0.0324045,0.0479895,-0.212589
1.11,0.00629487,0.0507314,-0.261132,0.0297233,0.0482906,-0.256322
1.12,-0.000842915,0.0498984,-0.272631,0.0233818,0.0470998,-0.267643
1.13,-0.0115619,0.0494826,-0.252247,0.0121079,0.0468875,-0.246856
1.14,-0.0251758,0.0498486,-0.207717,-0.0026766,0.0479074,-0.201481
1.15,-0.0385229,0.050044,-0.14957,-0.0185383,0.0490637,-0.142374
1.16,-0.0503821,0.0497005,-0.0886694,-0.0336236,0.0493646,-0.0807431
1.17,-0.058224,0.0483114,-0.0331231,-0.0446171,0.048366,-0.0242029
1.18,-0.06796,0.0346595,0.0385596,-0.0592037,0.0352801,0.0479923
1.19,-0.065369,0.00823982,0.114525,-0.0617307,0.0095064,0.124725
1.2,-0.0553179,-0.0110552,0.188862,-0.056309,-0.00924309,0.199265
1.21,-0.0573907,-0.0196853,0.259299,-0.0621014,-0.0180431,0.269021
1.22,-0.0458366,-0.0253662,0.285797,-0.0504506,-0.0239023,0.294354
1.23,-0.0273489,-0.0308468,0.275389,-0.0277751,-0.0299028,0.282038
1.24,-0.00565835,-0.0355432,0.237378,-0.00244289,-0.0354384,0.243479
1.25,0.0149352,-0.0387377,0.182012,0.0202751,-0.0388254,0.189135
1.26,0.0309205,-0.0407212,0.109209,0.03962,-0.0414386,0.116838
1.27,0.039962,-0.0432146,0.0229729,0.0521922,-0.0443218,0.031119
1.28,0.0414826,-0.0467511,-0.064686,0.0570731,-0.0482706,-0.0568397
1.29,0.0398243,-0.0500667,-0.146637,0.0586735,-0.0519518,-0.139337
1.3,0.0372474,-0.052227,-0.216512,0.058722,-0.0543415,-0.209396
1.31,0.0331557,-0.0528745,-0.260479,0.0562634,-0.0548834,-0.25341
1.32,0.0268206,-0.0519879,-0.272639,0.0503053,-0.0542214,-0.265386
1.33,0.016624,-0.0516198,-0.252757,0.039656,-0.0538463,-0.244577
1.34,0.00375974,-0.0519666,-0.208999,0.0252949,-0.0536467,-0.200107
1.35,-0.00942026,-0.0519641,-0.151358,0.00980143,-0.0530916,-0.14188
1.36,-0.020547,-0.0511457,-0.0912632,-0.00421085,-0.0515975,-0.0811232
1.37,-0.0288303,-0.0492036,-0.0354652,-0.0154035,-0.0490714,-0.0247466
